,Track name,Artist,Popularity,Track URL,id,Playlist country,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature,Genre,Genre code
40,Sweater Weather,The Neighbourhood,90,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6,2QjOHCTQ1Jl3zawyYOpxh6,Global,0.612,0.807,10,-2.81,1,0.0336,0.0495,0.0177,0.101,0.398,0.3600923795067652,audio_features,spotify:track:2QjOHCTQ1Jl3zawyYOpxh6,https://api.spotify.com/v1/tracks/2QjOHCTQ1Jl3zawyYOpxh6,https://api.spotify.com/v1/audio-analysis/2QjOHCTQ1Jl3zawyYOpxh6,240400,4,Pop,1
41,Bad Decisions (with BTS & Snoop Dogg),benny blanco,90,https://open.spotify.com/track/0xzI1KAr0Yd9tv8jlIk3sn,0xzI1KAr0Yd9tv8jlIk3sn,Global,0.762,0.861,0,-3.296,1,0.0955,0.0185,0.0,0.264,0.955,0.3274086405849614,audio_features,spotify:track:0xzI1KAr0Yd9tv8jlIk3sn,https://api.spotify.com/v1/tracks/0xzI1KAr0Yd9tv8jlIk3sn,https://api.spotify.com/v1/audio-analysis/0xzI1KAr0Yd9tv8jlIk3sn,172714,4,Pop,1
42,La Corriente,Bad Bunny,91,https://open.spotify.com/track/1797zYiX4cKosMH836X9Gt,1797zYiX4cKosMH836X9Gt,Global,0.663,0.786,11,-3.51,0,0.195,0.229,0.0,0.219,0.579,0.9482119832215312,audio_features,spotify:track:1797zYiX4cKosMH836X9Gt,https://api.spotify.com/v1/tracks/1797zYiX4cKosMH836X9Gt,https://api.spotify.com/v1/audio-analysis/1797zYiX4cKosMH836X9Gt,198367,4,Hispanic american dance music,2
43,Blinding Lights,The Weeknd,90,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b,0VjIjW4GlUZAMYd2vXMi3b,Global,0.514,0.73,1,-5.934,1,0.0598,0.00146,9.54e-05,0.0897,0.334,0.743255153503403,audio_features,spotify:track:0VjIjW4GlUZAMYd2vXMi3b,https://api.spotify.com/v1/tracks/0VjIjW4GlUZAMYd2vXMi3b,https://api.spotify.com/v1/audio-analysis/0VjIjW4GlUZAMYd2vXMi3b,200040,4,Electronic,4
44,BREAK MY SOUL,Beyoncé,83,https://open.spotify.com/track/5pyoxDZ1PX0KxBxiRVxA4U,5pyoxDZ1PX0KxBxiRVxA4U,Global,0.693,0.887,1,-5.039,0,0.0795,0.0581,2.71e-06,0.27,0.864,0.28573993373484136,audio_features,spotify:track:5pyoxDZ1PX0KxBxiRVxA4U,https://api.spotify.com/v1/tracks/5pyoxDZ1PX0KxBxiRVxA4U,https://api.spotify.com/v1/audio-analysis/5pyoxDZ1PX0KxBxiRVxA4U,278282,4,Electronic,4
45,Ghost,Justin Bieber,89,https://open.spotify.com/track/6I3mqTwhRpn34SLVafSH7G,6I3mqTwhRpn34SLVafSH7G,Global,0.601,0.741,2,-5.569,1,0.0478,0.185,2.91e-05,0.415,0.441,0.6041554456576735,audio_features,spotify:track:6I3mqTwhRpn34SLVafSH7G,https://api.spotify.com/v1/tracks/6I3mqTwhRpn34SLVafSH7G,https://api.spotify.com/v1/audio-analysis/6I3mqTwhRpn34SLVafSH7G,153190,4,Undefined,6
46,Vegas (From the Original Motion Picture Soundtrack ELVIS),Doja Cat,90,https://open.spotify.com/track/0hquQWY3xvYqN4qtiquniF,0hquQWY3xvYqN4qtiquniF,Global,0.801,0.601,8,-7.574,0,0.255,0.0777,3.23e-05,0.145,0.74,0.653193295141099,audio_features,spotify:track:0hquQWY3xvYqN4qtiquniF,https://api.spotify.com/v1/tracks/0hquQWY3xvYqN4qtiquniF,https://api.spotify.com/v1/audio-analysis/0hquQWY3xvYqN4qtiquniF,182907,4,Undefined,6
47,Bones,Imagine Dragons,80,https://open.spotify.com/track/54ipXppHLA8U4yqpOFTUhr,54ipXppHLA8U4yqpOFTUhr,Global,0.772,0.75,5,-3.67,0,0.0455,0.0201,0.0,0.074,0.587,0.27855032724542594,audio_features,spotify:track:54ipXppHLA8U4yqpOFTUhr,https://api.spotify.com/v1/tracks/54ipXppHLA8U4yqpOFTUhr,https://api.spotify.com/v1/audio-analysis/54ipXppHLA8U4yqpOFTUhr,165265,4,Rock,5
48,Yellow,Coldplay,88,https://open.spotify.com/track/3AJwUDP919kvQ9QcozQPxg,3AJwUDP919kvQ9QcozQPxg,Global,0.429,0.661,11,-7.227,1,0.0281,0.00239,0.000121,0.234,0.285,0.7625716104392107,audio_features,spotify:track:3AJwUDP919kvQ9QcozQPxg,https://api.spotify.com/v1/tracks/3AJwUDP919kvQ9QcozQPxg,https://api.spotify.com/v1/audio-analysis/3AJwUDP919kvQ9QcozQPxg,266773,4,Rock,5
49,MIDDLE OF THE NIGHT,Elley Duhé,90,https://open.spotify.com/track/58HvfVOeJY7lUuCqF0m3ly,58HvfVOeJY7lUuCqF0m3ly,Global,0.41,0.611,4,-8.271,0,0.0467,0.0228,0.0,0.116,0.0899,0.8633974767011049,audio_features,spotify:track:58HvfVOeJY7lUuCqF0m3ly,https://api.spotify.com/v1/tracks/58HvfVOeJY7lUuCqF0m3ly,https://api.spotify.com/v1/audio-analysis/58HvfVOeJY7lUuCqF0m3ly,184448,3,Electronic,4
